City	District
Ankara	Akyurt
Ankara	Altindag
Ankara	Ayas
Ankara	Bala
Ankara	Beypazari
Ankara	Camlidere
Ankara	Cankaya
Ankara	Cubuk
Ankara	Elmadag
Ankara	Etimesgut
Ankara	Evren
Ankara	Golbasi
Ankara	Gudul
Ankara	Haymana
Ankara	Kahramankazan
Ankara	Kalecik
Ankara	Kecioren
Ankara	Kizilcahamam
Ankara	Mamak
Ankara	Nallihan
Ankara	Polatli
Ankara	Pursaklar
Ankara	Sincan
Ankara	Sereflikochisar
Ankara	Yenimahalle
Istanbul	Adalar
Istanbul	Arnavutkoy
Istanbul	Atasehir
Istanbul	Avcilar
Istanbul	Bagcilar
Istanbul	Bahcelievler
Istanbul	Bakirkoy
Istanbul	Basaksehir
Istanbul	Bayrampasa
Istanbul	Besiktas
Istanbul	Beykoz
Istanbul	Beylikduzu
Istanbul	Beyoglu
Istanbul	Buyukcekmece
Istanbul	Catalca
Istanbul	Cekmekoy
Istanbul	Esenler
Istanbul	Esenyurt
Istanbul	Eyupsultan
Istanbul	Fatih
Istanbul	Gaziosmanpasa
Istanbul	Gungoren
Istanbul	Kadikoy
Istanbul	Kagithane
Istanbul	Kartal
Istanbul	Kucukcekmece
Istanbul	Maltepe
Istanbul	Pendik
Istanbul	Sancaktepe
Istanbul	Sariyer
Istanbul	Silivri
Istanbul	Sultanbeyli
Istanbul	Sultangazi
Istanbul	Sile
Istanbul	Sisli
Istanbul	Tuzla
Istanbul	Umraniye
Istanbul	Uskudar
Istanbul	Zeytinburnu
